"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Aug-2023","EQ","289.00","303.55","289.00","294.10","300.00","299.55","297.24","316.70","185.00","780,862","232,107,242.40","14,643"
"03-Aug-2023","EQ","293.85","300.65","285.05","292.40","292.90","294.10","294.35","316.70","185.00","1,053,212","310,016,799.00","18,948"
"02-Aug-2023","EQ","302.20","305.95","288.55","303.70","293.55","292.40","295.38","316.70","185.00","731,187","215,976,430.60","17,664"
"01-Aug-2023","EQ","309.95","309.95","302.15","308.85","303.00","303.70","305.10","316.70","185.00","402,749","122,879,743.05","7,716"
"31-Jul-2023","EQ","310.00","311.00","306.45","307.40","308.55","308.85","308.30","316.70","185.00","341,781","105,370,816.50","6,912"
"28-Jul-2023","EQ","306.00","312.45","306.00","305.50","307.50","307.40","309.04","316.70","185.00","318,085","98,300,886.05","6,736"
"27-Jul-2023","EQ","312.00","312.00","304.40","309.85","306.00","305.50","307.16","316.70","185.00","416,195","127,837,637.35","8,329"
"26-Jul-2023","EQ","314.50","316.35","308.40","312.40","311.00","309.85","311.98","316.70","185.00","411,451","128,365,960.05","7,577"
"25-Jul-2023","EQ","306.65","316.70","306.20","304.55","312.70","312.40","312.63","316.70","185.00","1,375,920","430,158,757.25","16,696"
"24-Jul-2023","EQ","302.70","312.00","301.05","300.45","305.50","304.55","307.34","312.00","185.00","1,039,828","319,581,661.80","17,704"
"21-Jul-2023","EQ","303.55","303.55","295.95","302.45","299.50","300.45","299.81","310.00","185.00","521,345","156,305,114.50","10,194"
"20-Jul-2023","EQ","307.95","309.00","301.25","306.15","301.30","302.45","304.04","310.00","185.00","490,007","148,983,056.60","8,726"
"19-Jul-2023","EQ","304.00","310.00","303.00","305.40","306.20","306.15","306.95","310.00","185.00","580,424","178,158,381.35","9,131"
"18-Jul-2023","EQ","309.00","310.00","298.10","307.50","306.00","305.40","303.45","310.00","185.00","953,309","289,277,599.95","12,281"
"17-Jul-2023","EQ","301.50","309.15","296.80","298.90","308.00","307.50","304.03","309.15","185.00","1,425,121","433,278,250.65","17,162"
"14-Jul-2023","EQ","297.40","300.65","295.30","295.30","299.00","298.90","297.80","307.70","185.00","585,829","174,458,050.20","9,365"
"13-Jul-2023","EQ","300.60","300.60","292.30","300.10","295.80","295.30","295.88","307.70","185.00","688,213","203,627,616.10","11,434"
"12-Jul-2023","EQ","305.50","306.65","296.00","301.85","298.35","300.10","302.06","307.70","185.00","1,190,426","359,576,539.90","17,105"
"11-Jul-2023","EQ","293.00","307.70","291.00","291.35","301.90","301.85","303.91","307.70","185.00","3,727,133","1,132,699,470.55","46,167"
"10-Jul-2023","EQ","294.70","299.00","288.05","294.35","293.40","291.35","293.03","303.00","185.00","655,853","192,183,735.00","9,784"
"07-Jul-2023","EQ","293.20","303.00","290.75","291.50","295.30","294.35","297.51","303.00","185.00","5,644,828","1,679,416,772.75","42,395"
"06-Jul-2023","EQ","289.10","294.00","286.65","287.30","291.65","291.50","290.42","301.75","185.00","765,536","222,323,294.50","8,948"
"05-Jul-2023","EQ","288.00","293.00","286.55","284.55","287.00","287.30","289.77","301.75","185.00","1,231,457","356,836,775.40","14,831"
