"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Aug-2021","EQ","954.00","987.00","950.80","948.15","975.40","975.25","974.73","1,863.65","840.50","1,776,400","1,731,513,103.70","57,663"
"02-Aug-2021","EQ","946.00","965.00","930.10","934.80","949.00","948.15","949.91","1,863.65","840.50","1,446,669","1,374,212,008.70","52,066"
"30-Jul-2021","EQ","894.70","941.95","892.95","894.40","938.00","934.80","924.26","1,863.65","840.50","1,905,761","1,761,410,073.00","68,587"
"29-Jul-2021","EQ","880.70","899.90","880.70","880.70","894.80","894.40","893.10","1,863.65","840.50","1,059,506","946,247,915.35","18,776"
"28-Jul-2021","EQ","891.00","897.20","867.80","898.25","879.50","880.70","881.33","1,863.65","840.50","669,683","590,209,199.55","24,515"
"27-Jul-2021","EQ","900.00","904.75","884.05","895.80","897.00","898.25","895.02","1,863.65","840.50","1,144,038","1,023,940,512.50","31,725"
"26-Jul-2021","EQ","891.00","901.05","883.10","890.90","894.00","895.80","895.43","1,863.65","840.50","816,371","731,001,652.15","28,367"
"23-Jul-2021","EQ","885.00","897.00","880.30","880.85","891.00","890.90","889.52","1,863.65","840.50","1,885,059","1,676,790,711.75","55,639"
"22-Jul-2021","EQ","873.00","882.85","862.15","862.15","881.00","880.85","876.10","1,863.65","840.50","1,251,334","1,096,298,030.45","35,095"
"20-Jul-2021","EQ","851.40","885.00","840.50","852.55","863.00","862.15","867.47","1,863.65","840.50","1,889,603","1,639,167,607.50","49,266"
"19-Jul-2021","EQ","855.00","861.40","846.95","856.95","852.80","852.55","855.24","1,863.65","841.10","883,147","755,303,641.55","29,879"
"16-Jul-2021","EQ","854.90","860.80","853.00","854.45","857.80","856.95","855.60","1,863.65","841.10","378,124","323,523,285.50","15,676"
"15-Jul-2021","EQ","860.00","863.00","851.00","859.20","855.00","854.45","858.46","1,863.65","841.10","494,589","424,587,234.05","11,791"
"14-Jul-2021","EQ","860.95","865.00","852.00","857.20","860.05","859.20","859.16","1,863.65","841.10","583,910","501,671,732.20","14,742"
"13-Jul-2021","EQ","855.10","860.00","848.00","851.90","857.35","857.20","854.00","1,863.65","841.10","551,759","471,200,123.80","16,382"
"12-Jul-2021","EQ","860.30","860.30","849.55","853.15","852.00","851.90","853.01","1,863.65","841.10","812,462","693,039,474.70","16,414"
"09-Jul-2021","EQ","848.80","861.75","846.15","848.40","853.70","853.15","855.22","1,863.65","841.10","879,180","751,891,357.95","23,765"
"08-Jul-2021","EQ","867.80","869.50","841.10","863.20","851.70","848.40","851.32","1,863.65","841.10","1,434,478","1,221,204,000.00","39,614"
"07-Jul-2021","EQ","850.00","865.10","845.35","849.35","864.05","863.20","856.75","1,863.65","845.05","1,646,860","1,410,939,194.90","34,380"
"06-Jul-2021","EQ","861.00","865.70","847.30","861.20","850.55","849.35","853.62","1,863.65","845.05","1,170,592","999,245,152.30","32,493"
"05-Jul-2021","EQ","879.50","879.50","856.60","874.30","861.00","861.20","865.70","1,863.65","845.05","1,044,502","904,226,029.35","36,974"
"02-Jul-2021","EQ","857.35","883.00","848.50","855.40","872.15","874.30","864.56","1,863.65","845.05","1,467,675","1,268,895,915.50","43,016"
"01-Jul-2021","EQ","874.50","878.75","853.30","871.75","857.00","855.40","863.61","1,863.65","845.05","773,644","668,129,254.80","29,043"
"30-Jun-2021","EQ","869.90","874.10","865.00","863.95","873.00","871.75","869.30","1,863.65","845.05","588,701","511,757,735.80","17,251"
"29-Jun-2021","EQ","871.95","879.00","856.85","868.00","865.60","863.95","865.49","1,863.65","845.05","588,826","509,620,107.55","21,297"
"28-Jun-2021","EQ","867.00","874.45","860.00","859.05","871.95","868.00","868.38","1,863.65","845.05","641,552","557,108,982.05","18,680"
"25-Jun-2021","EQ","875.00","875.00","845.05","870.75","862.10","859.05","857.07","1,863.65","845.05","1,392,183","1,193,193,177.15","36,137"
"24-Jun-2021","EQ","864.40","875.95","855.35","864.40","871.75","870.75","866.71","1,863.65","855.35","1,036,012","897,918,875.05","23,819"
"23-Jun-2021","EQ","884.00","886.60","861.60","877.10","866.00","864.40","875.95","1,863.65","861.60","841,152","736,809,421.35","34,195"
"22-Jun-2021","EQ","910.00","910.00","873.05","1,771.90","880.00","877.10","885.50","1,863.65","873.05","1,848,253","1,636,636,159.80","84,369"
