"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Aug-2022","EQ","343.50","344.70","338.00","341.80","341.00","341.45","340.89","474.90","272.05","135,054","46,038,405.35","4,550"
"03-Aug-2022","EQ","342.80","344.15","339.00","341.25","341.00","341.80","341.37","474.90","272.05","129,475","44,198,354.15","3,798"
"02-Aug-2022","EQ","340.00","344.00","338.00","339.65","341.50","341.25","340.40","474.90","272.05","157,340","53,558,070.35","4,715"
"01-Aug-2022","EQ","340.80","350.80","338.10","339.20","340.00","339.65","342.38","474.90","272.05","293,756","100,576,387.15","9,975"
"29-Jul-2022","EQ","343.70","345.70","338.00","340.95","339.90","339.20","340.24","474.90","272.05","203,127","69,111,230.60","6,042"
"28-Jul-2022","EQ","337.20","344.70","335.60","333.00","340.00","340.95","339.59","474.90","272.05","172,567","58,602,454.55","6,230"
"27-Jul-2022","EQ","344.00","345.95","330.20","341.60","335.00","333.00","334.40","474.90","272.05","284,578","95,161,845.70","10,473"
"26-Jul-2022","EQ","354.10","357.15","339.00","357.85","340.95","341.60","346.45","474.90","272.05","249,907","86,581,494.95","9,371"
"25-Jul-2022","EQ","359.00","361.95","353.30","358.40","357.10","357.85","357.41","474.90","272.05","136,271","48,705,158.65","4,469"
"22-Jul-2022","EQ","349.80","362.90","348.00","347.95","357.50","358.40","356.41","474.90","272.05","386,735","137,835,935.20","10,867"
"21-Jul-2022","EQ","343.25","350.35","342.95","343.25","347.50","347.95","347.82","474.90","272.05","119,837","41,681,393.45","4,747"
"20-Jul-2022","EQ","348.00","353.05","341.25","343.00","343.25","343.25","348.97","474.90","272.05","219,658","76,655,144.40","7,590"
"19-Jul-2022","EQ","330.45","347.00","330.45","330.45","344.50","343.00","341.52","474.90","272.05","282,361","96,433,118.35","8,295"
"18-Jul-2022","EQ","331.80","334.50","327.45","328.95","331.50","330.45","330.58","474.90","272.05","200,093","66,146,391.80","7,211"
"15-Jul-2022","EQ","341.00","343.70","326.85","336.25","329.00","328.95","330.88","474.90","272.05","728,245","240,959,198.90","12,212"
"14-Jul-2022","EQ","346.80","349.80","329.20","346.70","337.35","336.25","339.00","474.90","272.05","154,109","52,242,693.75","6,250"
"13-Jul-2022","EQ","350.00","360.00","343.70","347.75","344.00","346.70","350.06","474.90","272.05","476,254","166,715,564.05","11,463"
"12-Jul-2022","EQ","330.00","349.25","330.00","331.55","346.70","347.75","344.18","474.90","272.05","348,479","119,939,108.10","9,270"
"11-Jul-2022","EQ","333.65","335.00","328.15","328.70","330.30","331.55","331.36","474.90","272.05","77,832","25,790,088.40","4,175"
"08-Jul-2022","EQ","340.45","340.45","327.50","337.90","329.20","328.70","329.46","474.90","272.05","231,682","76,329,512.45","6,900"
"07-Jul-2022","EQ","338.55","342.00","337.00","335.90","338.00","337.90","338.92","474.90","272.05","39,335","13,331,461.70","1,996"
"06-Jul-2022","EQ","332.00","337.20","330.10","331.90","335.10","335.90","335.29","474.90","272.05","43,534","14,596,338.50","2,582"
"05-Jul-2022","EQ","335.45","339.55","330.00","333.15","333.00","331.90","335.25","474.90","272.05","52,886","17,730,152.20","3,735"
"04-Jul-2022","EQ","338.55","341.00","324.10","336.25","333.00","333.15","331.10","474.90","272.05","119,954","39,716,586.20","7,264"
"01-Jul-2022","EQ","330.05","339.75","326.00","332.45","337.25","336.25","332.77","474.90","272.05","108,993","36,269,640.25","4,309"
"30-Jun-2022","EQ","333.80","337.50","330.65","333.85","334.00","332.45","334.89","474.90","272.05","111,384","37,301,727.60","4,344"
"29-Jun-2022","EQ","322.00","336.90","317.45","323.50","333.00","333.85","330.16","474.90","272.05","139,528","46,067,069.10","5,233"
"28-Jun-2022","EQ","328.90","331.30","316.10","328.10","322.05","323.50","319.73","474.90","272.05","298,940","95,579,605.15","7,520"
"27-Jun-2022","EQ","336.40","349.00","325.85","332.85","327.00","328.10","335.79","474.90","272.05","349,203","117,259,114.65","12,247"
"24-Jun-2022","EQ","339.00","340.80","330.55","334.40","333.00","332.85","334.84","474.90","272.05","82,243","27,537,876.10","3,634"
"23-Jun-2022","EQ","333.95","339.65","327.75","329.00","334.20","334.40","333.86","474.90","272.05","167,217","55,826,831.95","6,039"
"22-Jun-2022","EQ","330.60","353.95","326.00","326.00","327.40","329.00","341.67","474.90","272.05","1,082,053","369,699,660.15","35,827"
"21-Jun-2022","EQ","316.00","334.00","310.00","315.60","325.40","326.00","322.74","474.90","272.05","241,906","78,072,574.55","12,197"
"20-Jun-2022","EQ","306.90","322.00","304.05","306.80","313.75","315.60","312.17","474.90","272.05","170,746","53,302,269.30","7,879"
"17-Jun-2022","EQ","309.00","309.25","303.05","312.10","307.00","306.80","306.04","474.90","267.95","115,991","35,497,465.95","6,011"
"16-Jun-2022","EQ","313.05","322.00","310.30","310.60","311.00","312.10","317.07","474.90","267.95","196,026","62,154,344.65","7,603"
"15-Jun-2022","EQ","305.10","312.00","304.70","304.00","310.00","310.60","308.25","474.90","267.95","59,117","18,222,703.05","3,016"
"14-Jun-2022","EQ","307.00","309.95","303.10","307.40","304.00","304.00","306.40","474.90","267.95","114,017","34,934,384.75","4,794"
"13-Jun-2022","EQ","307.40","315.50","299.00","309.70","306.00","307.40","308.46","474.90","267.95","203,649","62,817,056.00","8,292"
"10-Jun-2022","EQ","303.00","318.75","300.80","304.15","310.00","309.70","312.78","474.90","267.95","334,821","104,724,810.50","11,250"
"09-Jun-2022","EQ","303.00","307.90","299.45","304.35","304.00","304.15","302.98","474.90","267.95","204,458","61,946,367.20","7,104"
"08-Jun-2022","EQ","321.00","323.40","300.00","321.95","303.95","304.35","309.61","474.90","267.95","300,091","92,910,136.05","11,862"
"07-Jun-2022","EQ","325.90","325.90","315.60","326.35","323.00","321.95","320.90","474.90","267.95","64,802","20,795,162.65","3,696"
"06-Jun-2022","EQ","333.00","334.90","321.20","328.70","327.00","326.35","329.42","474.90","267.95","65,599","21,609,393.05","3,772"
"03-Jun-2022","EQ","341.90","343.15","327.00","339.40","329.20","328.70","334.28","474.90","264.35","72,531","24,245,501.95","4,091"
"02-Jun-2022","EQ","340.00","341.70","335.10","339.05","338.00","339.40","339.04","474.90","264.35","46,874","15,892,057.50","4,730"
"01-Jun-2022","EQ","337.00","342.00","333.95","338.50","338.20","339.05","338.13","474.90","264.35","75,383","25,488,927.30","4,429"
"31-May-2022","EQ","349.60","351.90","335.10","346.55","337.30","338.50","344.23","474.90","264.35","82,650","28,450,630.10","3,549"
"30-May-2022","EQ","342.85","348.40","337.85","336.30","345.05","346.55","342.93","474.90","264.35","69,518","23,839,512.60","4,216"
"27-May-2022","EQ","336.30","343.00","333.00","332.75","335.70","336.30","337.63","474.90","263.00","73,511","24,819,785.20","3,814"
"26-May-2022","EQ","340.00","342.00","328.85","327.05","331.05","332.75","334.88","474.90","263.00","170,530","57,107,026.70","11,214"
"25-May-2022","EQ","352.80","352.80","325.00","343.55","326.15","327.05","336.23","474.90","263.00","143,654","48,301,132.35","9,134"
"24-May-2022","EQ","341.00","347.00","339.30","340.90","342.75","343.55","343.76","474.90","263.00","127,622","43,870,850.05","7,168"
"23-May-2022","EQ","334.50","344.00","325.25","332.40","338.15","340.90","336.07","474.90","263.00","119,428","40,136,173.90","5,644"
"20-May-2022","EQ","315.05","339.30","313.50","311.70","329.25","332.40","324.59","474.90","245.20","120,831","39,220,932.95","6,527"
"19-May-2022","EQ","316.55","317.60","310.10","323.65","314.80","311.70","313.47","474.90","245.20","74,338","23,302,747.30","4,720"
"18-May-2022","EQ","320.90","331.95","319.50","318.40","323.45","323.65","326.73","474.90","245.20","81,272","26,553,877.55","3,981"
"17-May-2022","EQ","321.25","327.80","312.95","317.40","319.45","318.40","318.38","474.90","245.20","133,604","42,536,337.50","7,326"
"16-May-2022","EQ","306.15","320.10","306.15","308.05","319.00","317.40","314.96","474.90","245.20","151,960","47,861,922.95","7,126"
"13-May-2022","EQ","311.40","322.30","305.50","306.80","309.95","308.05","315.37","474.90","243.00","188,779","59,534,692.25","9,717"
"12-May-2022","EQ","307.90","316.90","302.80","310.45","305.55","306.80","310.71","474.90","243.00","128,547","39,940,941.15","6,936"
"11-May-2022","EQ","337.00","337.30","307.35","331.00","310.40","310.45","318.45","474.90","243.00","169,459","53,964,057.50","11,150"
"10-May-2022","EQ","343.30","365.00","323.30","344.70","327.00","331.00","342.70","474.90","243.00","176,367","60,440,573.05","9,678"
"09-May-2022","EQ","337.00","355.00","331.25","342.80","343.00","344.70","346.72","474.90","243.00","267,759","92,838,388.80","10,726"
"06-May-2022","EQ","346.00","348.75","339.05","349.80","345.00","342.80","343.99","474.90","241.60","105,190","36,184,439.45","4,713"
"05-May-2022","EQ","348.50","356.00","344.55","342.50","349.00","349.80","350.51","474.90","241.60","151,438","53,080,048.85","6,654"
"04-May-2022","EQ","338.80","360.85","335.05","333.80","338.00","342.50","346.80","474.90","241.60","602,537","208,958,494.20","22,646"
"02-May-2022","EQ","352.40","352.40","308.05","354.65","332.00","333.80","326.58","474.90","241.60","836,561","273,200,956.90","33,776"
"29-Apr-2022","EQ","349.40","368.85","346.60","348.15","352.50","354.65","360.69","474.90","241.60","275,575","99,395,942.10","15,434"
"28-Apr-2022","EQ","356.00","358.45","342.85","353.10","347.40","348.15","349.32","474.90","241.60","162,195","56,657,411.20","6,588"
"27-Apr-2022","EQ","354.50","356.85","345.80","356.10","355.75","353.10","350.84","474.90","241.60","160,759","56,400,254.75","7,237"
"26-Apr-2022","EQ","362.75","371.00","354.30","359.90","356.55","356.10","359.60","474.90","241.60","129,539","46,581,651.60","8,333"
"25-Apr-2022","EQ","366.35","366.35","356.45","367.35","359.70","359.90","362.77","474.90","241.60","106,022","38,461,490.35","8,490"
"22-Apr-2022","EQ","372.50","374.05","365.30","371.95","367.35","367.35","369.94","474.90","241.60","116,048","42,931,347.85","13,488"
"21-Apr-2022","EQ","382.80","383.65","370.55","380.20","371.85","371.95","376.14","474.90","241.60","126,771","47,683,609.70","9,321"
