"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Aug-2022","EQ","239.00","239.75","227.50","237.95","229.40","230.15","232.73","287.00","114.35","443,932","103,318,263.05","9,492"
"03-Aug-2022","EQ","237.95","245.00","233.00","236.75","237.50","237.95","238.13","287.00","114.35","921,973","219,553,765.45","14,202"
"02-Aug-2022","EQ","224.20","239.60","223.50","224.55","235.60","236.75","233.08","287.00","114.35","950,040","221,435,985.85","16,597"
"01-Aug-2022","EQ","223.85","227.50","222.35","222.25","224.90","224.55","225.62","287.00","114.35","237,095","53,494,399.10","5,652"
"29-Jul-2022","EQ","227.60","230.00","221.00","227.90","222.35","222.25","224.96","287.00","114.35","234,922","52,847,127.95","5,115"
"28-Jul-2022","EQ","227.00","230.55","223.25","224.00","228.00","227.90","227.88","287.00","114.35","340,405","77,571,941.45","6,166"
"27-Jul-2022","EQ","213.80","227.05","213.75","215.75","224.05","224.00","222.75","287.00","114.35","469,362","104,552,511.95","9,456"
"26-Jul-2022","EQ","226.15","226.70","214.00","225.50","216.00","215.75","219.48","287.00","114.35","341,725","75,000,698.35","8,189"
"25-Jul-2022","EQ","223.00","229.00","222.45","225.30","224.70","225.50","226.51","287.00","114.35","333,128","75,458,116.85","6,610"
"22-Jul-2022","EQ","227.90","230.80","224.00","227.15","225.40","225.30","227.54","287.00","114.35","253,099","57,589,936.00","5,710"
"21-Jul-2022","EQ","223.00","229.00","221.90","223.80","227.05","227.15","225.54","287.00","114.35","282,052","63,613,037.75","5,791"
"20-Jul-2022","EQ","230.85","232.85","223.00","230.60","223.00","223.80","227.33","287.00","114.35","441,843","100,445,420.75","8,302"
"19-Jul-2022","EQ","235.35","237.50","227.65","236.55","230.55","230.60","232.11","287.00","114.35","500,678","116,210,057.15","11,596"
"18-Jul-2022","EQ","234.20","238.20","233.70","231.90","236.00","236.55","235.82","287.00","114.35","609,691","143,774,848.60","11,120"
"15-Jul-2022","EQ","226.05","233.95","226.05","225.15","232.00","231.90","230.88","287.00","114.35","914,679","211,177,616.85","17,003"
"14-Jul-2022","EQ","226.00","228.50","223.10","225.90","224.00","225.15","226.33","287.00","114.35","405,461","91,767,484.60","8,998"
"13-Jul-2022","EQ","225.75","227.00","222.00","223.35","226.05","225.90","225.07","287.00","114.35","514,582","115,817,388.75","12,907"
"12-Jul-2022","EQ","217.40","226.00","216.40","217.85","223.20","223.35","222.38","287.00","114.35","873,481","194,242,667.95","14,501"
"11-Jul-2022","EQ","210.95","220.00","209.85","212.05","217.00","217.85","216.91","287.00","114.35","771,629","167,377,865.25","13,163"
"08-Jul-2022","EQ","213.60","214.70","208.55","214.15","211.05","212.05","212.12","287.00","114.35","417,205","88,497,051.10","6,748"
"07-Jul-2022","EQ","209.20","215.00","208.00","206.85","212.65","214.15","212.57","287.00","114.35","535,300","113,788,658.25","8,769"
"06-Jul-2022","EQ","210.10","213.80","205.40","210.10","206.70","206.85","208.38","287.00","114.35","424,879","88,535,245.80","8,043"
"05-Jul-2022","EQ","211.90","214.90","208.20","211.70","210.15","210.10","210.87","287.00","114.35","1,119,964","236,165,838.40","18,792"
"04-Jul-2022","EQ","203.55","213.10","201.25","202.10","210.85","211.70","208.83","287.00","114.35","1,129,429","235,854,511.90","16,609"
"01-Jul-2022","EQ","202.00","204.20","194.80","201.50","203.00","202.10","199.83","287.00","114.35","622,698","124,434,538.25","11,261"
"30-Jun-2022","EQ","195.80","203.50","195.60","196.70","201.00","201.50","199.64","287.00","114.35","978,347","195,315,945.55","13,566"
"29-Jun-2022","EQ","188.00","197.90","186.55","189.40","196.05","196.70","194.36","287.00","114.35","1,259,535","244,802,123.35","16,158"
"28-Jun-2022","EQ","189.50","190.30","187.50","191.35","189.45","189.40","189.20","287.00","114.35","489,947","92,697,971.60","11,765"
"27-Jun-2022","EQ","185.50","192.85","183.05","184.60","190.80","191.35","188.96","287.00","114.35","1,166,924","220,503,496.25","15,515"
"24-Jun-2022","EQ","170.00","189.40","170.00","168.05","184.00","184.60","180.84","287.00","114.35","2,402,747","434,515,203.95","31,661"
"23-Jun-2022","EQ","168.40","170.40","163.50","167.75","169.50","168.05","167.26","287.00","114.35","499,224","83,501,633.30","8,987"
"22-Jun-2022","EQ","172.40","172.70","166.50","171.15","166.90","167.75","169.90","287.00","114.35","973,931","165,471,520.05","12,982"
"21-Jun-2022","EQ","169.00","176.00","169.00","168.95","171.25","171.15","171.85","287.00","114.35","674,474","115,907,586.70","12,026"
"20-Jun-2022","EQ","179.00","181.50","165.75","178.85","168.45","168.95","171.54","287.00","114.35","586,926","100,679,969.75","12,430"
"17-Jun-2022","EQ","178.50","183.60","175.75","181.95","180.00","178.85","179.42","287.00","114.35","530,123","95,113,208.05","14,855"
"16-Jun-2022","EQ","189.50","195.75","180.00","187.90","182.00","181.95","187.28","287.00","114.35","690,294","129,276,209.50","12,540"
"15-Jun-2022","EQ","188.00","190.65","187.20","188.05","187.90","187.90","189.18","287.00","114.35","250,398","47,371,326.05","4,509"
"14-Jun-2022","EQ","188.00","191.35","186.45","189.10","188.00","188.05","189.12","287.00","114.35","301,670","57,052,104.15","4,986"
"13-Jun-2022","EQ","190.00","191.50","187.50","195.30","189.90","189.10","189.43","287.00","114.35","372,540","70,570,595.80","8,870"
"10-Jun-2022","EQ","196.40","199.50","193.00","196.60","194.40","195.30","196.53","287.00","114.35","391,302","76,902,796.20","6,534"
"09-Jun-2022","EQ","198.50","201.40","196.00","200.40","196.75","196.60","197.59","287.00","114.35","350,763","69,305,707.90","10,423"
"08-Jun-2022","EQ","196.75","203.10","195.35","194.60","199.00","200.40","199.36","287.00","114.35","895,551","178,538,863.65","12,241"
"07-Jun-2022","EQ","200.00","200.45","193.50","200.40","195.50","194.60","196.65","287.00","114.35","786,704","154,703,763.35","11,789"
"06-Jun-2022","EQ","210.80","211.35","199.95","211.75","200.80","200.40","203.05","287.00","114.35","971,567","197,278,370.10","15,087"
"03-Jun-2022","EQ","217.70","217.95","211.00","216.00","211.45","211.75","214.44","287.00","113.55","692,301","148,458,545.00","8,092"
"02-Jun-2022","EQ","209.10","218.00","207.60","210.55","217.70","216.00","213.11","287.00","113.55","847,761","180,667,633.75","9,778"
"01-Jun-2022","EQ","207.15","214.70","207.05","209.95","212.00","210.55","209.25","287.00","113.55","752,691","157,499,776.40","8,615"
"31-May-2022","EQ","200.65","217.50","195.10","199.70","208.50","209.95","211.48","287.00","113.55","3,448,505","729,295,783.05","40,160"
"30-May-2022","EQ","200.20","203.50","197.60","197.45","200.00","199.70","200.89","287.00","113.55","900,019","180,809,259.50","19,217"
"27-May-2022","EQ","202.00","203.75","194.35","199.00","196.55","197.45","199.91","287.00","110.00","406,405","81,246,388.30","8,070"
"26-May-2022","EQ","201.65","203.55","192.60","200.85","201.00","199.00","198.98","287.00","110.00","691,550","137,603,289.20","14,758"
"25-May-2022","EQ","201.35","207.90","200.00","201.35","200.80","200.85","203.63","287.00","110.00","1,059,170","215,677,487.85","19,012"
"24-May-2022","EQ","203.00","204.20","198.20","201.30","201.55","201.35","201.58","287.00","110.00","557,733","112,427,003.85","10,428"
"23-May-2022","EQ","206.00","209.90","198.00","203.85","200.20","201.30","205.20","287.00","110.00","711,761","146,052,752.20","10,821"
"20-May-2022","EQ","205.00","205.95","200.50","198.80","203.40","203.85","203.46","287.00","104.35","640,370","130,287,224.65","11,230"
"19-May-2022","EQ","199.70","206.35","197.50","211.50","199.00","198.80","202.26","287.00","104.35","1,157,238","234,062,116.85","28,627"
"18-May-2022","EQ","216.00","221.55","206.55","207.35","212.00","211.50","213.35","287.00","104.35","3,440,476","734,035,644.40","49,951"
"17-May-2022","EQ","196.40","210.00","192.00","195.45","206.30","207.35","200.00","287.00","104.35","1,515,791","303,160,529.70","23,578"
