"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Aug-2021","EQ","341.80","343.50","328.40","339.95","331.05","330.00","334.84","358.00","150.60","282,143","94,473,808.65","9,110"
"02-Aug-2021","EQ","339.40","350.00","335.55","337.50","339.50","339.95","343.51","358.00","150.60","370,447","127,252,085.95","12,994"
"30-Jul-2021","EQ","340.05","348.60","335.25","340.05","336.00","337.50","342.25","358.00","148.60","595,778","203,904,252.65","17,669"
"29-Jul-2021","EQ","325.00","358.00","324.90","322.90","341.50","340.05","343.73","358.00","148.60","3,368,970","1,158,023,745.00","71,479"
"28-Jul-2021","EQ","312.40","332.00","310.55","310.95","322.95","322.90","324.98","332.00","148.60","1,046,632","340,134,833.35","23,404"
"27-Jul-2021","EQ","314.40","317.55","308.30","312.30","311.40","310.95","313.59","324.90","148.60","202,942","63,640,931.70","7,189"
"26-Jul-2021","EQ","314.00","323.55","310.10","312.30","312.05","312.30","316.40","324.90","148.60","250,093","79,130,493.40","7,132"
"23-Jul-2021","EQ","313.40","316.00","310.00","311.30","314.00","312.30","313.41","324.90","148.60","130,464","40,888,353.20","4,301"
"22-Jul-2021","EQ","314.00","318.70","308.10","310.15","312.00","311.30","314.04","324.90","148.60","138,798","43,588,323.55","7,758"
"20-Jul-2021","EQ","315.00","315.00","303.35","312.55","312.00","310.15","309.12","324.90","148.60","213,008","65,845,102.00","7,041"
"19-Jul-2021","EQ","309.90","316.60","308.20","316.65","316.00","312.55","313.34","324.90","148.60","179,006","56,089,697.70","6,180"
"16-Jul-2021","EQ","309.90","320.00","309.55","314.70","314.70","316.65","315.32","324.90","148.60","297,921","93,939,001.35","9,650"
"15-Jul-2021","EQ","305.80","318.00","304.50","310.30","315.00","314.70","311.45","324.90","148.60","530,458","165,210,958.05","14,786"
"14-Jul-2021","EQ","293.50","324.90","293.50","294.55","308.65","310.30","314.12","324.90","148.60","2,502,990","786,249,167.15","45,390"
"13-Jul-2021","EQ","301.00","302.90","292.10","298.25","293.35","294.55","297.55","318.30","148.60","543,365","161,679,369.45","9,094"
"12-Jul-2021","EQ","288.50","299.85","286.25","285.45","299.00","298.25","295.23","318.30","148.60","724,548","213,909,920.15","15,262"
"09-Jul-2021","EQ","284.80","287.90","282.05","285.15","285.55","285.45","285.61","318.30","148.60","178,016","50,842,717.65","5,532"
"08-Jul-2021","EQ","287.40","292.80","284.75","285.40","284.80","285.15","286.37","318.30","148.60","149,501","42,812,221.55","3,813"
"07-Jul-2021","EQ","285.00","287.95","284.10","285.70","285.00","285.40","285.83","318.30","148.60","95,852","27,397,776.65","5,154"
"06-Jul-2021","EQ","285.60","297.50","282.95","283.65","285.90","285.70","291.67","318.30","148.60","605,891","176,722,222.55","15,150"
"05-Jul-2021","EQ","286.05","286.55","279.50","284.55","283.50","283.65","283.40","318.30","148.60","149,158","42,272,059.40","4,486"
"02-Jul-2021","EQ","285.00","287.75","283.20","284.70","284.00","284.55","285.75","318.30","138.25","102,141","29,186,439.40","3,365"
"01-Jul-2021","EQ","283.45","288.00","281.65","282.20","283.55","284.70","284.79","318.30","138.25","127,105","36,197,837.70","3,932"
"30-Jun-2021","EQ","282.20","284.55","280.10","282.20","280.55","282.20","281.85","318.30","138.25","115,918","32,671,530.25","4,534"
"29-Jun-2021","EQ","285.65","288.00","280.05","284.50","281.00","282.20","283.58","318.30","138.25","117,411","33,295,872.00","4,568"
"28-Jun-2021","EQ","284.00","287.00","281.20","281.15","283.35","284.50","285.27","318.30","138.25","126,068","35,963,336.35","4,582"
"25-Jun-2021","EQ","279.00","284.80","278.75","278.95","282.00","281.15","281.31","318.30","137.30","169,331","47,634,079.30","3,903"
"24-Jun-2021","EQ","285.00","286.95","276.00","283.80","278.10","278.95","281.04","318.30","137.30","158,968","44,676,401.05","3,959"
"23-Jun-2021","EQ","289.40","290.95","283.05","287.00","284.10","283.80","285.79","318.30","137.30","198,301","56,672,767.30","3,971"
"22-Jun-2021","EQ","289.75","292.60","285.05","286.70","285.70","287.00","288.99","318.30","137.30","272,351","78,705,450.05","7,467"
"21-Jun-2021","EQ","276.70","288.70","273.55","278.65","286.80","286.70","284.56","318.30","137.30","312,009","88,784,687.70","8,882"
"18-Jun-2021","EQ","285.10","289.35","268.00","284.50","277.70","278.65","279.27","318.30","121.15","628,461","175,508,497.40","14,490"
"17-Jun-2021","EQ","285.00","297.35","281.60","284.70","284.35","284.50","289.49","318.30","121.15","1,894,808","548,524,930.25","30,835"
"16-Jun-2021","EQ","313.80","318.30","267.95","310.30","282.80","284.70","283.27","318.30","121.15","16,631,743","4,711,213,659.10","69,468"
"15-Jun-2021","EQ","300.00","317.00","299.30","295.20","311.90","310.30","310.77","317.00","121.15","1,030,209","320,154,153.45","21,178"
"14-Jun-2021","EQ","297.05","305.00","291.70","296.55","297.00","295.20","300.58","310.00","121.15","353,345","106,209,344.75","9,485"
"11-Jun-2021","EQ","298.35","300.95","294.20","296.50","297.00","296.55","298.87","310.00","120.00","170,635","50,997,418.70","5,218"
"10-Jun-2021","EQ","296.75","302.00","294.50","293.70","296.10","296.50","298.98","310.00","120.00","235,731","70,478,225.20","8,275"
"09-Jun-2021","EQ","294.30","302.00","289.00","292.75","292.00","293.70","295.97","310.00","120.00","391,681","115,925,899.95","10,111"
"08-Jun-2021","EQ","285.00","298.00","283.90","284.25","292.00","292.75","290.59","310.00","120.00","392,201","113,968,955.65","10,589"
